storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
552,Tue Oct 16 00:00:00 -0400 1984,,,21,133,350 WHITESBURG PLAZA,Whitesburg,KY,41858,Wal-Mart,37.119542,-82.851271
553,Tue May 17 00:00:00 -0400 1983,Wed Jan 28 00:00:00 -0500 2004,1,22,103,39142 NATCHEZ DRIVE,Slidell,LA,70461,Supercenter,30.281329,-89.746259
554,Tue Jun 07 00:00:00 -0400 1983,,,48,479,5610 SAN BERNARDO AVE,Laredo,TX,78041,Wal-Mart,27.553054,-99.504215
555,Fri Jul 01 00:00:00 -0400 1983,,,13,175,2101 VETERANS BLVD,Dublin,GA,31021,Wal-Mart,32.54338,-82.959954
556,Fri Jul 01 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 1996,1,13,299,2425 MEMORIAL DRIVE,Waycross,GA,31501,Supercenter,31.20355,-82.333624
557,Tue Jun 07 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 2000,1,20,111,2301 INDUSTRIAL ROAD,Emporia,KS,66801,Supercenter,38.425862,-96.217062
558,Tue Jun 07 00:00:00 -0400 1983,Mon Mar 01 00:00:00 -0500 1999,1,20,169,2900 SOUTH 9TH ST,Salina,KS,67401,Supercenter,38.785894,-97.612864
559,Fri Jul 01 00:00:00 -0400 1983,Sat Mar 01 00:00:00 -0500 1997,1,19,139,3003 NORTH HWY 61,Muscatine,IA,52761,Supercenter,41.392696,-91.0861
560,Fri Jul 01 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,29,021,4201 N BELT HIGHWAY,St. Joseph,MO,64506,Supercenter,39.802308,-94.814994
561,Tue Oct 04 00:00:00 -0400 1983,Wed Oct 26 00:00:00 -0400 2005,1,48,133,1410 E. MAIN ST.,Eastland,TX,76448,Supercenter,32.401764,-98.816396
562,Tue Nov 01 00:00:00 -0500 1983,Wed Mar 01 00:00:00 -0500 2000,1,01,115,8551 WHITFIELD AVE,Leeds,AL,35094,Supercenter,33.557955,-86.523268
563,Tue Oct 18 00:00:00 -0400 1983,Wed Mar 14 00:00:00 -0500 2001,1,12,127,2400 VETERANS MEMORIAL PRKWY,Orange City,FL,32763,Supercenter,28.913389,-81.281504
564,Tue Nov 01 00:00:00 -0500 1983,Sun Mar 01 00:00:00 -0500 1998,1,40,109,6100 WEST RENO AVE,Oklahoma City,OK,73127,Supercenter,35.464166,-97.622242
565,Tue Oct 18 00:00:00 -0400 1983,Wed Aug 20 00:00:00 -0400 2003,1,48,349,3801 WEST HWY 31,Corsicana,TX,75110,Supercenter,32.069187,-96.506518
566,Tue Mar 06 00:00:00 -0500 1984,Wed Jan 28 00:00:00 -0500 2004,1,18,173,1115 AMERICAN WAY,Boonville,IN,47601,Supercenter,38.051493,-87.305445
567,Tue Apr 03 00:00:00 -0500 1984,,,48,051,475 STATE HIGHWAY 36 N,Caldwell,TX,77836,Wal-Mart,30.531067,-96.687323
568,Tue May 01 00:00:00 -0400 1984,,,47,159,59 DIXON SPRINGS HIGHWAY,Carthage,TN,37030,Wal-Mart,36.262909,-85.95489
569,Thu Nov 29 00:00:00 -0500 1984,,,21,001,809 JAMESTOWN STREET,Columbia,KY,42728,Wal-Mart,37.096866,-85.302253
571,Tue Apr 03 00:00:00 -0500 1984,Wed Feb 20 00:00:00 -0500 2002,1,21,209,112 OSBORNE WAY,Georgetown,KY,40324,Supercenter,38.231379,-84.536161
572,Tue Jun 05 00:00:00 -0400 1984,Wed Mar 19 00:00:00 -0500 2003,1,48,183,1201 STONE STREET,Kilgore,TX,75662,Supercenter,32.391981,-94.866577
573,Tue Apr 03 00:00:00 -0500 1984,Wed Jun 27 00:00:00 -0400 2001,1,29,095,1000 NE SAM WALTON LANE,Lee's Summit,MO,64086,Supercenter,38.931145,-94.362485
574,Fri Jun 29 00:00:00 -0400 1984,Fri Mar 01 00:00:00 -0500 1996,1,45,051,2751 BEAVER RUN BLVD,Surfside Beach,SC,29575,Supercenter,33.644416,-78.983347
575,Tue May 22 00:00:00 -0400 1984,Wed May 19 00:00:00 -0400 2004,1,13,057,12182 HWY 92,Woodstock,GA,30188,Supercenter,34.087324,-84.481259
576,Tue Oct 04 00:00:00 -0400 1983,Tue Mar 01 00:00:00 -0500 1994,1,40,143,207 S MEMORIAL DRIVE,Tulsa,OK,74112,Supercenter,36.159688,-95.886698
577,Thu Aug 02 00:00:00 -0400 1984,Wed Jul 11 00:00:00 -0400 2001,1,20,091,13600 S. ALDEN ST.,Olathe,KS,66062,Supercenter,38.919328,-94.757144
578,Tue Oct 18 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,47,155,1414 PARKWAY,Sevierville,TN,37862,Supercenter,35.839894,-83.570793
579,Tue Nov 29 00:00:00 -0500 1983,Sat Mar 01 00:00:00 -0500 1997,1,12,109,2355 US HWY #1SOUTH,St. Augustine,FL,32086,Supercenter,29.881176,-81.325172
580,Tue Nov 29 00:00:00 -0500 1983,Sat Mar 01 00:00:00 -0500 1997,1,12,105,1050 VAN FLEET DRIVE,Bartow,FL,33830,Supercenter,27.902644,-81.832692
581,Tue Oct 04 00:00:00 -0400 1983,Wed Sep 04 00:00:00 -0400 2002,1,19,127,2802 S CENTER STREET,Marshalltown,IA,50158,Supercenter,42.013131,-92.912278
582,Tue Nov 29 00:00:00 -0500 1983,Sun Mar 01 00:00:00 -0500 1998,1,12,127,1590 DUNLAWTON AVE,Port Orange,FL,32127,Supercenter,29.115246,-81.02436
